AA	總論{{一}}
CC	論診候
ZZ	夫欲理病, 先察其源, 候其病機. 五臟未虛, 六腑未竭, 血脉未亂, 精神未散, 服藥必活; 若病已成, 可得半愈; 病勢已過, 命將難全.
ZZ	夫診候之法, 常以平旦, 陰氣未動, 陽氣未散, 飮食未進, 經脉未盛, 絡脉調均, 氣血未亂, 精取其脉, 知其逆順, 非其時不用也, 深察三部九候而明告之. 古之善爲醫者, 上醫醫國, 中醫醫人, 下醫醫病. 又曰上醫聽聲, 中醫察色, 下醫診脉. 又曰上醫醫未病之病, 中醫醫欲病之病, 下醫醫已病之病. 若不加心用意, 於事混淆, 卽病者難以救矣. 何謂三部? 寸關尺也, 上部爲天, 肺也; 中部爲人, 脾也; 下部爲地, 腎也. 何謂九候? 部各有三, 合爲九候. 上部天, 兩額動脉, 主頭角之氣也; 上部地, 兩頰動脉, 主口齒之氣也; 上部人, 耳前動脉, 主耳目之氣也. 中部天, 手太陰, 肺之氣也; 中部地, 手陽明, 胷中之氣也; 中部人, 手少陰, 心之氣也. 下部天, 足厥陰, 肝之氣也; 下部地, 足少陰, 腎之氣也; 下部人, 足太陰, 脾之氣也, 合爲九候. 夫形盛脉細, 少氣不足以息者死; 形瘦脉大, 胷中多氣者死; 形氣相得者生; 參五不調者病; 三部九候皆相失者死. 愚醫不通三部九候及四時之經, 或用湯藥倒錯, 針灸失度, 順方治病, 更增他疾, 遂致滅亡, 哀哉蒸民, 枉死者半, 可謂世無良醫, 爲其觧釋. 經說: 地水火風, 和合成人. 凡人火氣不調, 擧身蒸熱; 風氣不調, 全身彊直, 諸毛孔閉塞; 水氣不調, 身體浮腫, 氣滿喘粗; 土氣不調, 四肢不擧, 言無音聲. 火去則身冷, 風止則氣絶, 水竭則無血, 土散則身裂. 然愚醫不思脉道, 反治其病, 使藏中五行共相剋切, 如火熾燃重加其油, 不可不愼. 凡四氣合德, 四神安和; 一氣不調, 百{病一=一病@『備急千金要方』}生; 四神動作, 四百四病同時俱發. 又云: 一百一病, 不治自愈; 一百一病, 須治而愈; 一百一病, 雖治難愈; 一百一病, 眞死不治.
ZZ	張仲景曰: 欲療諸病, 當先以湯, 蕩滌五臟六腑, 開通諸脉, 治道陰陽, 破散邪氣, 潤澤枯朽, 悅人皮膚, 益人氣血, 水能淨萬物, 故用湯也. 若四肢病久, 風冷發動, 次當用散, 散能逐邪, 風氣濕痺, 表裏移走, 居無常處者, 散當平之. 次當用丸, 丸藥者, 能逐風冷, 破積聚, 消諸堅癖, 進飮食, 調和榮衛. 能參合而行之者, 可謂上工, 故曰醫者意也. 又曰: 不須汗而彊汗之者, 出其津液, 枯竭而死; 須汗而不與汗之者, 使諸毛孔閉塞, 令人悶絶而死. 又不須下而彊下之者, 令人開腸洞泄不禁而死; 須下而不與下之者, 使人心內懊憹, 脹滿煩亂, 浮腫而死. 又不須灸而彊與灸者, 令人火邪入腹, 干錯五臟, 重加其煩而死; 須灸而不與灸之者, 令人冷結重凝, 久而彌固, 氣上衝心, 無地消散, 病篤而死.
ZZ	黃帝問曰: 淫邪泮衍奈何? 岐伯對曰: 正邪從外襲內, 而未有定舍, 及淫於藏, 不得定處, 與榮衛俱行, 而與魂魄飛揚, 使人臥不得安而喜夢也. 凡氣淫於腑, 則有餘於外, 不足於內; 氣淫於臟, 則有餘於內, 不足於外. 問曰: 有餘不足有形乎? 對曰: 陰盛則夢涉大水而恐懼, 陽盛則夢陷大火而燔灼, 陰陽俱盛則夢相殺毀傷, 上盛則夢飛揚, 下盛則夢墮墜, 甚飽則夢與, {{巢源云夢行.}} 甚飢則夢取, {{巢源云夢臥.}} 肝氣盛則夢怒, 肺氣盛則夢恐懼哭泣, 心氣盛則夢喜笑及恐畏, 脾氣盛則夢歌樂體重手足不擧, 腎氣盛則夢腰脊兩觧而不屬, 凡此十二盛者, 至而瀉之立已. 厥氣客於心則夢見丘山煙火; 客於肺則夢飛揚, 見金鐵之器奇物; 客於肝則夢見山林樹木; 客於脾則夢見丘陵大澤, 壞屋風雨; 客於腎則夢見臨淵, 沒居水中; 客於膀胱則夢見遊行; 客於胃則夢見飮食; 客於大腸則夢見田野; 客於小腸則夢見聚邑街衢; 客於膽則夢見闘訟自刳; 客於陰器則夢交接闘內; 客於項則夢見斬首; 客於跨則夢見行走而不能前進, 及池渠穽窊中居; 客於股則夢見禮節拜跪; 客於胞䐈則夢見溲溺便利. 凡此十五不足者, 至而補之立已. 善診候者, 亦可深思此意, 乃盡善盡美矣.
ZZ	史記曰: 病有六不治: 驕恣不論於理, 一不治也; 輕身重財, 二不治也; 衣食不能適, 三不治也; 陰陽幷藏氣不定, 四不治也; 形羸不能服藥, 五不治也; 信巫不信醫, 六不治也. 生候尙存, 形色未改, 病未入腠裏, 針藥及時, 能將節調理, 委以良醫, 病無不愈.
CC	論處方
ZZ	夫療寒以熱藥, 療熱以寒藥, 飮食不消以吐下藥, 鬼疰蠱毒以蠱毒藥, 癰腫瘡瘤以瘡瘤藥, 風濕以風濕藥, 風勞氣冷各隨其所宜. 雷公云: 藥有三品, 病有三階. 藥有甘苦ㆍ輕重不同. 病有新久ㆍ寒溫亦異. 重熱膩滑鹹酢藥石飮食等, 於風雨{{聖惠方ㆍ和劑ㆍ指南作風病}} 爲治, 餘病非對. 輕冷粗澀甘苦藥草{{聖惠方ㆍ指南藥草石.}} 飮食等. 於熱病爲治, 餘病非對. 輕熱辛苦淡藥飮食等, 於冷病爲治, 餘病非對. 其大綱略顯其源流, 自餘覩狀可知, 臨事制宜, 當識斯要.
CC	論用藥
ZZ	或曰古人用藥至少, 分兩亦輕, 瘥病極多; 觀君處方非不煩重, 分兩亦多, 而瘥病不及古人者, 何也? 答曰: 古者日月長遠, 藥在土中, 自養經久, 氣味眞實, 百姓少欲, 稟氣中和, 感病輕微, 易爲醫療. 今時日月短促, 藥力輕虛, 人多巧詐, 感病厚重, 難以爲醫. 病輕用藥須少, 痾重用藥卽多, 此則醫之一隅, 何足怪也. 又古之醫者{自觧=自將@『備急千金要方』}採取, 陰乾曝乾, 皆悉如法, 用藥必依土地, 所以治十得九. 今之醫者, 但知診脉處方, 不委採藥時節, 至於出處土地, 新陳虛實, 一皆不悉, 所以治十不得五六者, 寔由於此. 夫處方者常須加意, 重複用藥, 藥乃有力, 若學古人, 徒自誤耳, 方來學者, 須詳熟之. 凡紫石英ㆍ白石英ㆍ朱砂ㆍ雄黃ㆍ硫黃等, 皆須光明映徹, 色理鮮淨者爲佳; 不然, 令人身體乾燥, 發熱口乾而死.
ZZ	凡草石藥, 皆須土地堅實, 氣味濃烈; 不爾, 治病不愈.
CC	論合和
ZZ	問曰凡和合湯藥, 治諸草石蟲獸, 用水升數, 消殺之法則云何? 答曰: 凡草有根莖枝葉皮骨花實, 諸蟲有毛翅皮甲頭足尾骨之屬, 有須燒鍊炮炙, 生熟有定, 一如後法, 順方者福, 逆之者殃. 或須皮去肉, 或去皮須肉, 或須根莖, 或須花實, 依方鍊治, {{聖惠方ㆍ和劑指南依方揀鍊事褫理削.}} 極令淨潔, 然後升合秤兩, 勿令參差. 藥有相生相殺, 氣力有強有弱, 君臣相理, 佐使相持. 若不廣通諸經, 則不知有好有惡, 或醫自以意加減, 不依方分{{指南分兩.}} 使諸草{{聖惠方ㆍ指南作藥.}} 石, 強弱相欺, 入人腹中, 不能治病, 更加闘爭, 草石相反, 使人迷亂, 力甚刀劒. 若調和得所, 雖未能治病, 猶得安利五臟, 於病無所增劇.
CC	論服餌
ZZ	凡服丸散, 不云酒水飮者, 本方如此, 是可通用也.
ZZ	凡服利湯, 欲得侵早. 凡服湯欲得稍熱, 服之卽易消下不吐, 若冷則吐嘔不下, 若太熱卽破人咽喉, 務在用意. 湯必須澄淸, 若濁令人心悶不觧, 中閒相去, 如步行十里久再服, 若太促數, 前湯未消, 後湯來衝, 必當吐逆, 仍問病者腹中藥消散, 乃可進服.
ZZ	凡服湯法, 大約皆分爲三服, 取三升, 然後乘病人穀氣彊進, 一服最須多, 次一服漸少, 後一服最須少, 如此卽甚安穩, 所以病人於後氣力漸微, 故湯須漸少. 凡服補湯, 欲得服三升半, 晝三夜一, 中閒閒食, 則湯氣漑灌百脉, 易得藥力. 凡服湯不得太緩太急也, 又須左右仰覆臥各一食頃, 卽湯勢徧行腹中, 又於室中行, 皆可一百步許, 一日勿出外, 卽大益. 凡服湯三日常忌酒, 緣湯忌酒故也. 凡服治風湯, 第一服厚覆取汗, 若得汗卽須薄覆, 勿令大汗. 中閒亦須閒食, 不爾, 令人無力, 更益虛羸.
ZZ	凡丸藥皆如梧桐子大, 補者十丸爲始, {{聖惠方, 和劑指南凡服丸藥補者, 皆如梧桐子大, 以二十丸爲始.}} 從一服漸加不過四十丸, 過亦損人. 云一日三度服, {{聖惠方ㆍ指南再服.}} 欲得引日多時不闕, 藥氣漸漬熏蒸五臟, 積久爲佳, 不必頓服, 早盡爲善, 徒棄{{聖惠方ㆍ指南作餌.}} 名藥, 獲益甚少. 凡人四十已下, 有病可服瀉藥, 不甚須服補藥, 必若有所損, 不在此限; 四十已上, 則不可服瀉藥, 須服補藥; 五十已上, 四時勿闕補藥. 如此乃可延年, 得養生之術耳, 其方備在第二十七卷中. 素問曰: 實卽瀉之, 虛卽補之, 不虛不實, 以經調之, 此其大略也. 凡有臟腑積聚, 無問少長, 須瀉則瀉; 凡有虛損, 無問少長, 須補卽補, 以意量度而用之.
ZZ	凡服痔漏疳䘌等藥, 皆愼猪雞魚油等味, 至{老=差@『備急千金要方』}.
ZZ	凡服瀉藥, 不過以利爲度, 愼勿過多, 令人下利無度, 大損人也.
ZZ	凡諸惡瘡瘥後, 皆百日愼口味, 不爾卽瘡發也.
ZZ	凡服酒藥, 欲得使酒氣相接, 無得斷絶, 絶則不得藥力; 多少皆以知爲度, 不可令至醉及吐, 則大損人也.
ZZ	凡服藥, 皆斷生冷ㆍ酢滑ㆍ猪ㆍ犬ㆍ鷄ㆍ魚ㆍ油ㆍ麪ㆍ蒜及菓實等. 其大補丸散, 切忌陳臭宿滯之物. 有空青忌食生血物, 天門冬忌鯉魚, 白朮忌桃李及雀肉ㆍ葫荽ㆍ大蒜ㆍ青魚鮓等物, 地黃忌蕪荑, 甘草忌菘菜ㆍ海藻, 細辛忌生菜, 菟絲子忌兔肉, 牛膝忌牛肉, 黃連ㆍ桔梗忌猪肉, 牡丹忌葫荽, 藜蘆忌狸肉, 半夏ㆍ菖蒲忌飴糖及羊肉, 𢘆山ㆍ桂心忌生葱ㆍ生菜, 商陸忌犬肉, 茯苓忌醋物, 栢子人忌濕麪, 巴豆忌蘆笋羹及猪肉, 鼈甲忌莧菜.
ZZ	凡服藥, 忌見死尸及產婦穢汚觸之, 兼及忿怒憂勞.
ZZ	凡餌湯藥, 其粥食肉菜皆須大熟, 熟卽易消, 與藥相宜; 若生則難消, 復損藥力. 仍須少食菜及硬物, 於藥爲佳; 亦少進塩醋乃善; 亦不得苦心用力及房室喜怒. 是以治病用藥力, 惟在食治將息得力, 太半於藥有益. 所以病者, 務在將息節愼, 節愼之至, 可以長生, 豈惟愈病而已.
ZZ	凡服瀉湯及諸丸散酒等, 至食時須食者, 皆先與一口冷醋飯, 須臾乃進食爲佳.
ZZ	凡人忽遇風發, 身心頓惡, 或不能言. 有如此者, 當服大小續命湯及西州續命ㆍ排風ㆍ越婢等湯, 於無風處密室之中, 日夜四五服, 勿計劑數多少, 亦勿慮虛, 常使頭面手足腹背汗出不絶爲佳. 服湯之時, 湯消卽食粥, 粥消卽服湯, 亦少與羊肉臛將補. 若風大重者, 相續五日五夜服湯不絶, 卽經二日停湯, 以羹臛自補, 將息四體; 若小瘥, 卽當停藥, 漸漸將息; 如其不瘥, 當更服湯攻之, 以瘥爲度.
ZZ	凡患風服湯, 非得大汗, 其風不去, 所以諸風方中皆有麻黃, 至如西州續命卽用八兩, 越婢六兩, 大小續命或用一兩ㆍ三兩ㆍ四兩, 故知非汗不瘥, 所以治風非密室不得, 輒服湯藥, 徒自誤耳, 惟更加增, 未見損減矣.
ZZ	凡人五十已上大虛者, 服三石更生, 愼勿用五石也. 四時常以平旦服一二升, 暖飮, 終身勿絶, 及一時勿食蒜ㆍ油ㆍ魚ㆍ猪ㆍ牛ㆍ馬ㆍ雞ㆍ鵝ㆍ鴨等肉, 卽無病矣.
CC	論藥藏
ZZ	存不忘亡, 安不忘危, 大聖之至敎; 求民之瘼, 恤民之隱, 賢人之用心. 所以神農鳩集百藥, 黃帝纂錄針經, 皆備預之常道也. 且人痾瘵多起倉卒, 不與人期, 一朝嬰已, 豈遑知救. 想諸好事者, 可貯藥藏用, 以備不虞, 所謂起心雖微, 所救惟廣. 見諸世祿之家, 有善養馬者, 尙貯馬藥數十斤; 不見養身者, 有蓄人藥一錙銖. 以此類之, 極可愧矣; 貴畜而賤身, 誠可羞矣; 傷人乎不問馬, 此言安用哉. 至如人或有公私使命, 行邁邊隅, 地旣不毛, 藥物焉出, 忽逢瘴癘, 素不資貯, 無以救療, 遂拱手待斃, 以致夭歿者, 斯爲自致, 豈是枉橫, 何者? 旣不能深心以自衛, 一朝至此, 何歎惜之晩哉. 故置藥藏法, 以防危殆云爾.
ZZ	石藥ㆍ灰土藥ㆍ水藥ㆍ根藥ㆍ莖藥ㆍ葉藥ㆍ花藥ㆍ皮藥ㆍ子藥ㆍ五穀ㆍ五菓ㆍ五菜, 諸獸齒ㆍ牙ㆍ骨ㆍ角ㆍ蹄ㆍ甲ㆍ皮ㆍ毛ㆍ尿ㆍ屎等藥, 酥ㆍ髓ㆍ乳ㆍ酪ㆍ醍醐ㆍ石蜜ㆍ沙糖ㆍ飴糖ㆍ酒ㆍ醋ㆍ膠ㆍ麴糱ㆍ豉等藥.
ZZ	右件藥, 依時收採以貯藏之, 蟲豸之藥不收採也.
ZZ	秤ㆍ斗ㆍ升ㆍ合ㆍ鐵臼ㆍ木臼ㆍ絹羅ㆍ紗羅ㆍ馬尾羅ㆍ刀ㆍ砧ㆍ玉槌ㆍ瓷鉢, 大小銅銚ㆍ鐺ㆍ釜ㆍ銅鐵匙等.
ZZ	右合藥所須, 極當預備.
ZZ	凡藥皆不欲數數曬曝, 多見風日, 氣力卽薄歇, 宜熟知之. 諸藥未卽用者, 候天大晴時, 於烈日中曝令大乾, 以新瓦器貯之, 泥頭密封, 須用開取, 卽急封之, 勿令中風濕之氣, 雖經年亦如新也. 其丸散以瓷器貯, 蜜蠟封之, 勿令洩氣, 則三十年不壞. 諸杏人及子等藥, 瓦器貯之, 則鼠不能得之也. 凡貯藥法, 皆須去地三四尺, 則土濕之氣不中也.
BB	聖惠方
CC	敘爲醫
ZZ	夫淸濁形分, 陰陽位設, 四時序矣, 萬物生焉, 滋味旣興, 疾恙斯作. 神農嘗之百草, 黃帝立以九針, 歧伯雷公備論診脉, 華{他:타!佗의 오자}扁鵲廣著群書. 分弦鉤毛石之功, 定君臣佐使之用, 立神聖功巧, 判虛實浮沈. 邇後伎士分鑣, 名醫接踵, 皆窮玄奧, 盡播聲光. 自古迄今, 更相祖述, 道符濟國, 志在救人也. 夫爲醫者, 先須識甲乙素問, 明堂針經, 兪穴流注, 本草藥對, 三部九候, 五藏六腑, 表裏虛實, 陰陽盛衰, 諸家方論, 並須精熟. 然後涉獵詩書, 該博釋老, 全之四敎, 備以五常, 明希夷恬淡之門, 達喜捨慈悲之旨, 儻盡窮其大體, 卽自得其重玄, 譬猶測影用圭, 乾坤不能逃其數, 宣疑設卦, 倚伏洞可究其源, 奚異通神, 無殊造聖. 是以學者必須傍採典籍, 邈審姸媸, 服勤以求, 探賾無厭, 勿恣道聽, 自恃己長, 衒耀聲稱, 泛濫名譽, 心中未了, 指下難明, 欲別死生, 深爲造次. 故曰醫者意也, 非常之意爾. 是以上醫醫國, 中醫醫人, 下醫醫病. 又曰上醫聽聲, 中醫察色, 下醫診脉. 又曰上醫療未病, 中醫療欲病, 下醫療已病. 夫如是則須洞明物理, 曉達人情, 悟造化之變通, 定吉㐫之機要, 視表知裏, 診候處方, 常懷拯物之心, 普救含靈之苦, 苟用藥有准, 則厥疾必瘳, 若能留心於斯, 具而學之, 則爲醫之道, 盡善盡美, 觸事皆通矣.
CC	論形氣盛衰法
ZZ	凡人生十歲, 五藏始定, 血氣已通, 其氣在下, 故好走. 二十歲, 血氣始盛, 肌肉方長, 是以好趨. 三十歲, 五藏大定, 肌肉堅固, 氣血盛溢, 故好步. 四十歲, 五藏六腑十二經脉其盛已平, 腠理始薄, 榮華漸落, 鬢髮班白, 氣血平減而不搖動, 故好坐. 五十歲, 肝氣衰, 肝葉始薄, 膽汁減少, 目則不明. 六十歲, 心氣衰, 喜多悲憂, 血氣懈墮, 故多臥. 七十歲, 脾氣衰, 膚肉枯槁, 飮食減少. 八十歲, 肺氣衰, 魄神始離, 其言多誤. 九十歲, 腎氣焦竭, 根本萎枯, 經脉空虛, 是以不聽. 百歲, 五藏俱絶, 神氣不守, 魂魄皆去, 形骸獨居而終矣. 又有不盡天壽, 未滿百年而終者, 皆由藏腑不堅, 肌肉不實, 數中風邪, 氣血不通, 眞邪相攻, 根葉相亂, 是以不壽而終矣.
CC	論女子盛衰
ZZ	凡女子七歲腎氣盛, 更齒髮長. 二七而天癸至, 任脉通, 衝脉盛, 月事以時下, 故有子. 三七腎氣平均, 故眞牙生而長極. 四七筋骨堅, 髮長極, 身體盛壯. 五七陽明脉衰, 面始焦, 髮始墮. 六七三陽脉衰於上, 面焦, 髮始白. 七七任脉虛, 衝脉衰, 天癸竭, 地道不通, 故形壞而無子也.
CC	論丈夫盛衰
ZZ	凡丈夫八歲腎氣實, 髮長齒更. 二八腎氣盛, 天癸至, 精氣溢寫, 陰陽和, 故有子. 三八腎氣平均, 筋骨勁強, 故眞牙生而長極. 四八筋骨隆盛, 肌肉充滿. 五八腎氣衰, 髮墮齒槁. 六八陽氣衰竭於上, 面焦, 髮鬢白. 七八肝氣衰, 筋不能動, 天癸竭, 精少, 腎藏衰, 形體皆極. 八八則齒髮去. 腎者主水, 受五藏六腑之精而藏之, 故五藏盛乃寫. 今藏腑皆衰, 精髓津液已竭, 筋骨懈墮, 天癸盡矣. 故鬢髮白, 身體重, 行步不正而無子也.
CC	論處方法
